latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.69688,-122.46036,93.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,44.8,78,0,0.000,0.000,0.000,0.000,0.000,0,62007.875,2.6,10.6,290,324,48.4
1681977600,44.2,75,0,0.000,0.000,0.000,0.000,0.000,0,65616.797,0.7,6.0,270,333,48.3
1681981200,43.5,75,0,0.000,0.000,0.000,0.000,0.000,0,59383.203,1.7,5.1,293,331,48.3
1681984800,43.5,74,0,0.000,0.000,0.000,0.000,0.000,0,57414.699,4.8,8.4,319,331,47.9
1681988400,43.0,75,0,0.000,0.000,0.000,0.000,0.000,0,53149.605,3.5,5.0,297,324,47.7
1681992000,42.0,77,0,0.000,0.000,0.000,0.000,0.000,0,49540.684,1.4,3.0,279,324,48.4
1681995600,42.1,70,0,0.000,0.000,0.000,0.000,0.000,0,63648.293,1.3,1.3,121,329,48.4
1681999200,42.4,71,0,0.000,0.000,0.000,0.000,0.000,1,62007.875,2.7,2.5,114,90,48.4
1682002800,47.3,85,0,0.000,0.000,0.000,0.000,0.000,2,57414.699,2.2,2.7,135,138,48.4
1682006400,54.1,67,0,0.000,0.000,0.000,0.000,0.000,2,84645.672,0.5,0.3,207,135,49.2
1682010000,57.3,58,0,0.000,0.000,0.000,0.000,0.000,2,108595.805,4.2,3.3,324,332,51.3
1682013600,57.5,66,0,0.000,0.000,0.000,0.000,0.000,1,87270.344,5.8,6.0,306,304,53.3
1682017200,58.5,60,0,0.000,0.000,0.000,0.000,0.000,1,98097.117,7.4,8.2,299,299,54.0
1682020800,60.5,52,0,0.000,0.000,0.000,0.000,0.000,4,119750.656,7.3,7.1,301,298,53.5
1682024400,60.1,53,0,0.000,0.000,0.000,0.000,0.000,13,115157.484,9.3,11.4,305,305,52.9
1682028000,60.5,53,0,0.000,0.000,0.000,0.000,0.000,5,114829.398,10.5,13.0,299,302,53.3
1682031600,59.3,53,0,0.000,0.000,0.000,0.000,0.000,0,116141.734,10.0,13.0,299,301,54.0
1682035200,56.5,56,0,0.000,0.000,0.000,0.000,0.000,0,104986.875,12.7,18.1,309,310,53.7
1682038800,55.6,60,0,0.000,0.000,0.000,0.000,0.000,0,94160.109,11.5,16.8,314,316,53.5
1682042400,54.2,65,0,0.000,0.000,0.000,0.000,0.000,0,83333.336,10.0,16.5,316,319,52.9
1682046000,51.8,71,0,0.000,0.000,0.000,0.000,0.000,0,73490.812,5.7,14.7,312,322,52.0
1682049600,50.4,75,0,0.000,0.000,0.000,0.000,0.000,0,67585.305,4.6,14.2,299,323,51.9
1682053200,49.7,76,0,0.000,0.000,0.000,0.000,0.000,0,66601.047,4.0,13.4,304,327,51.9
1682056800,49.1,77,0,0.000,0.000,0.000,0.000,0.000,0,65288.715,4.0,12.7,304,324,51.9
1682060400,48.4,78,0,0.000,0.000,0.000,0.000,0.000,0,62007.875,3.8,11.5,315,327,51.7
1682064000,48.3,78,0,0.000,0.000,0.000,0.000,0.000,0,62007.875,2.8,8.9,299,328,51.7
1682067600,48.3,76,0,0.000,0.000,0.000,0.000,0.000,0,63320.211,1.6,5.2,262,353,51.7
1682071200,48.6,71,0,0.000,0.000,0.000,0.000,0.000,0,72178.477,0.3,4.1,225,49,51.7
1682074800,48.0,72,0,0.000,0.000,0.000,0.000,0.000,0,67257.219,3.3,5.5,290,346,51.9
1682078400,47.7,73,0,0.000,0.000,0.000,0.000,0.000,0,62007.875,3.5,6.5,315,338,51.9
1682082000,48.0,71,0,0.000,0.000,0.000,0.000,0.000,3,66272.969,2.9,5.8,309,347,52.0
