latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.548706,-121.98494,20.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,48.3,79,0,0.000,0.000,0.000,0.000,0.000,3,62992.125,1.1,5.2,101,329,49.9
1681977600,47.4,76,0,0.000,0.000,0.000,0.000,0.000,3,70538.055,2.2,2.7,127,325,49.6
1681981200,46.7,77,0,0.000,0.000,0.000,0.000,0.000,2,65616.797,3.6,1.6,133,188,49.6
1681984800,45.6,81,0,0.000,0.000,0.000,0.000,0.000,1,58070.867,1.9,1.3,126,135,49.6
1681988400,45.7,77,0,0.000,0.000,0.000,0.000,0.000,2,63976.379,4.0,2.8,117,135,49.8
1681992000,44.9,72,0,0.000,0.000,0.000,0.000,0.000,0,75459.320,1.6,1.3,45,301,50.7
1681995600,44.6,79,0,0.000,0.000,0.000,0.000,0.000,0,60039.371,3.3,2.5,62,360,50.7
1681999200,45.4,76,0,0.000,0.000,0.000,0.000,0.000,0,65288.715,4.3,2.1,84,77,50.1
1682002800,49.2,79,0,0.000,0.000,0.000,0.000,0.000,1,66272.969,1.7,1.3,140,180,49.2
1682006400,52.9,75,0,0.000,0.000,0.000,0.000,0.000,2,70866.141,0.7,0.6,288,315,49.8
1682010000,57.1,66,0,0.000,0.000,0.000,0.000,0.000,2,89566.930,2.2,1.9,307,306,52.5
1682013600,59.7,62,0,0.000,0.000,0.000,0.000,0.000,3,97769.031,4.8,4.7,283,278,55.5
1682017200,62.3,60,0,0.000,0.000,0.000,0.000,0.000,1,101706.039,6.1,6.7,287,285,57.9
1682020800,64.7,52,0,0.000,0.000,0.000,0.000,0.000,6,122375.328,7.0,7.3,297,293,60.2
1682024400,67.4,42,0,0.000,0.000,0.000,0.000,0.000,2,154199.469,6.6,7.6,303,302,62.2
1682028000,68.1,42,0,0.000,0.000,0.000,0.000,0.000,5,156167.984,8.0,8.6,300,301,63.3
1682031600,67.9,42,0,0.000,0.000,0.000,0.000,0.000,1,155839.891,11.1,13.8,312,312,63.6
1682035200,64.5,39,0,0.000,0.000,0.000,0.000,0.000,1,165682.422,11.9,16.4,322,322,63.3
1682038800,61.3,42,0,0.000,0.000,0.000,0.000,0.000,0,151902.891,11.9,16.7,320,322,62.4
1682042400,59.2,48,0,0.000,0.000,0.000,0.000,0.000,0,131561.688,8.7,13.2,316,320,60.7
1682046000,56.0,59,0,0.000,0.000,0.000,0.000,0.000,0,98753.281,4.1,10.0,311,318,58.6
1682049600,54.1,68,0,0.000,0.000,0.000,0.000,0.000,0,78740.156,0.5,7.3,207,315,57.1
1682053200,52.7,73,0,0.000,0.000,0.000,0.000,0.000,0,70209.977,3.3,5.9,132,313,56.4
1682056800,51.7,75,0,0.000,0.000,0.000,0.000,0.000,0,67913.383,3.1,3.8,120,310,56.2
1682060400,50.9,75,0,0.000,0.000,0.000,0.000,0.000,0,67585.305,1.8,3.8,104,298,56.4
1682064000,50.1,77,0,0.000,0.000,0.000,0.000,0.000,0,64960.629,4.1,2.3,77,299,56.2
1682067600,49.8,75,0,0.000,0.000,0.000,0.000,0.000,0,69881.891,3.7,3.3,73,318,55.5
1682071200,49.2,76,0,0.000,0.000,0.000,0.000,0.000,0,68241.469,2.9,4.1,67,311,54.8
1682074800,48.7,77,0,0.000,0.000,0.000,0.000,0.000,0,64960.629,2.6,3.8,59,306,54.1
1682078400,48.3,78,0,0.000,0.000,0.000,0.000,0.000,0,61679.789,0.5,2.7,63,294,54.3
1682082000,47.3,83,0,0.000,0.000,0.000,0.000,0.000,0,53477.691,1.1,2.8,323,299,54.4
1682085600,47.3,87,0,0.000,0.000,0.000,0.000,0.000,2,48556.430,1.4,4.1,351,315,53.7
1682089200,51.2,90,0,0.000,0.000,0.000,0.000,0.000,4,46587.926,0.7,2.6,252,308,53.7
1682092800,56.3,77,0,0.000,0.000,0.000,0.000,0.000,1,67257.219,1.6,1.9,286,291,55.2
1682096400,61.1,73,0,0.000,0.000,0.000,0.000,0.000,1,74803.148,2.7,3.4,305,307,59.8
1682100000,65.1,64,0,0.000,0.000,0.000,0.000,0.000,54,93832.023,3.4,3.9,302,301,63.1
1682103600,69.1,55,0,0.000,0.000,0.000,0.000,0.000,58,112860.891,4.6,5.5,299,302,65.8
1682107200,73.1,45,0,0.000,0.000,0.000,0.000,0.000,86,143372.703,6.1,7.6,303,304,68.5
1682110800,75.6,41,0,0.000,0.000,0.000,0.000,0.000,93,155511.812,9.1,11.1,306,308,71.0
1682114400,74.9,41,0,0.000,0.000,0.000,0.000,0.000,20,152887.141,11.5,14.9,316,316,72.8
