latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.6646,-122.095505,37.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,47.3,81,0,0.000,0.000,0.000,0.000,0.000,0,57742.781,0.8,3.2,56,315,49.2
1681977600,46.7,77,0,0.000,0.000,0.000,0.000,0.000,2,64960.629,4.9,0.6,120,135,48.6
1681981200,45.9,74,0,0.000,0.000,0.000,0.000,0.000,0,71194.227,2.5,1.3,117,149,48.1
1681984800,45.1,74,0,0.000,0.000,0.000,0.000,0.000,0,70209.977,2.5,0.7,90,108,47.7
1681988400,45.3,69,0,0.000,0.000,0.000,0.000,0.000,0,79396.328,4.2,2.6,122,149,47.4
1681992000,44.3,70,0,0.000,0.000,0.000,0.000,0.000,0,78083.992,4.0,2.7,124,180,47.7
1681995600,43.8,70,0,0.000,0.000,0.000,0.000,0.000,0,77755.906,3.0,0.5,117,207,47.2
1681999200,43.7,72,0,0.000,0.000,0.000,0.000,0.000,1,72506.562,4.9,3.3,93,110,46.8
1682002800,48.6,80,0,0.000,0.000,0.000,0.000,0.000,0,63320.211,1.0,0.8,117,214,46.8
1682006400,53.6,69,0,0.000,0.000,0.000,0.000,0.000,1,80380.578,1.1,1.1,127,143,48.3
1682010000,57.2,62,0,0.000,0.000,0.000,0.000,0.000,1,98753.281,2.8,2.6,299,301,52.4
1682013600,59.9,61,0,0.000,0.000,0.000,0.000,0.000,4,98753.281,4.7,5.4,275,272,55.8
1682017200,64.0,50,0,0.000,0.000,0.000,0.000,0.000,0,128280.844,5.8,6.5,283,286,58.4
1682020800,65.0,45,0,0.000,0.000,0.000,0.000,0.000,7,141404.203,9.8,10.9,281,281,59.8
1682024400,66.9,41,0,0.000,0.000,0.000,0.000,0.000,6,155511.812,8.5,10.1,275,275,60.5
1682028000,67.2,40,0,0.000,0.000,0.000,0.000,0.000,4,156167.984,9.9,11.5,278,279,60.9
1682031600,65.5,46,0,0.000,0.000,0.000,0.000,0.000,0,134186.359,12.0,14.9,288,289,60.5
1682035200,63.2,40,0,0.000,0.000,0.000,0.000,0.000,0,155511.812,10.7,14.6,296,297,60.2
1682038800,61.4,43,0,0.000,0.000,0.000,0.000,0.000,0,147309.719,8.4,11.4,302,306,60.0
1682042400,60.1,48,0,0.000,0.000,0.000,0.000,0.000,0,131889.766,5.8,7.9,293,299,58.9
1682046000,56.2,62,0,0.000,0.000,0.000,0.000,0.000,0,95800.523,2.5,6.5,260,304,57.3
1682049600,53.9,71,0,0.000,0.000,0.000,0.000,0.000,0,76771.656,2.8,4.4,198,294,55.7
1682053200,52.4,77,0,0.000,0.000,0.000,0.000,0.000,0,65944.883,3.4,2.4,188,248,54.4
1682056800,51.2,81,0,0.000,0.000,0.000,0.000,0.000,0,59383.203,2.8,2.0,198,207,53.7
1682060400,50.2,83,0,0.000,0.000,0.000,0.000,0.000,0,55118.109,2.9,3.6,176,191,53.1
1682064000,49.3,83,0,0.000,0.000,0.000,0.000,0.000,0,55118.109,3.7,4.3,147,180,52.8
1682067600,48.9,80,0,0.000,0.000,0.000,0.000,0.000,0,59055.117,2.2,2.3,127,169,52.6
1682071200,48.6,78,0,0.000,0.000,0.000,0.000,0.000,0,62335.957,1.6,0.5,82,153,52.2
1682074800,48.1,77,0,0.000,0.000,0.000,0.000,0.000,0,63976.379,0.9,0.2,90,90,52.1
1682078400,47.4,78,0,0.000,0.000,0.000,0.000,0.000,0,60695.539,0.5,0.5,207,297,51.9
1682082000,46.7,81,0,0.000,0.000,0.000,0.000,0.000,0,53149.605,1.3,1.3,149,225,51.7
1682085600,47.2,81,0,0.000,0.000,0.000,0.000,0.000,8,54133.859,1.6,0.7,106,198,52.4
1682089200,52.1,84,0,0.000,0.000,0.000,0.000,0.000,11,55118.109,1.0,1.4,207,198,53.0
1682092800,56.7,77,0,0.000,0.000,0.000,0.000,0.000,4,66272.969,1.4,1.1,261,259,53.9
1682096400,61.5,66,0,0.000,0.000,0.000,0.000,0.000,1,88582.680,2.2,2.3,276,287,57.5
1682100000,65.1,63,0,0.000,0.000,0.000,0.000,0.000,13,94488.188,3.2,3.5,282,285,61.6
1682103600,69.5,52,0,0.000,0.000,0.000,0.000,0.000,16,118110.234,4.8,5.4,283,287,64.7
1682107200,73.8,44,0,0.000,0.000,0.000,0.000,0.000,82,143372.703,6.4,7.2,288,292,67.4
1682110800,75.8,37,0,0.000,0.000,0.000,0.000,0.000,92,169291.344,10.3,12.8,292,295,69.2
1682114400,73.9,45,0,0.000,0.000,0.000,0.000,0.000,32,136154.859,12.0,15.3,294,297,70.1
