latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.39019,-122.07135,28.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,47.8,65,0,0.000,0.000,0.000,0.000,0.000,0,85301.828,6.1,3.2,126,102,48.7
1681977600,46.8,62,0,0.000,0.000,0.000,0.000,0.000,0,93832.023,4.1,4.9,151,129,48.5
1681981200,46.4,56,0,0.000,0.000,0.000,0.000,0.000,0,110564.305,4.9,2.5,183,153,48.5
1681984800,45.3,60,0,0.000,0.000,0.000,0.000,0.000,0,97112.859,2.1,0.7,162,252,48.5
1681988400,44.3,61,0,0.000,0.000,0.000,0.000,0.000,0,96128.609,2.1,0.3,139,45,48.7
1681992000,44.4,60,0,0.000,0.000,0.000,0.000,0.000,0,99081.367,2.7,3.4,336,337,49.2
1681995600,43.0,68,0,0.000,0.000,0.000,0.000,0.000,0,81364.828,2.9,4.9,293,330,49.0
1681999200,43.8,67,0,0.000,0.000,0.000,0.000,0.000,0,85629.922,1.7,2.9,320,351,48.8
1682002800,48.8,75,0,0.000,0.000,0.000,0.000,0.000,2,69881.891,0.8,4.3,236,291,48.7
1682006400,54.0,70,0,0.000,0.000,0.000,0.000,0.000,3,81692.914,2.8,3.0,331,324,49.7
1682010000,57.4,62,0,0.000,0.000,0.000,0.000,0.000,1,97112.859,4.6,4.8,349,349,52.1
1682013600,60.6,51,0,0.000,0.000,0.000,0.000,0.000,3,125656.172,5.6,5.6,2,360,54.6
1682017200,63.4,47,0,0.000,0.000,0.000,0.000,0.000,4,136811.031,5.4,6.0,2,2,56.8
1682020800,66.1,40,0,0.000,0.000,0.000,0.000,0.000,3,159448.812,6.1,6.3,354,354,58.9
1682024400,67.7,35,0,0.000,0.000,0.000,0.000,0.000,6,185695.547,7.0,7.6,6,2,60.0
1682028000,69.0,35,0,0.000,0.000,0.000,0.000,0.000,5,186679.797,6.9,7.8,2,2,60.0
1682031600,69.0,38,0,0.000,0.000,0.000,0.000,0.000,1,170275.594,9.0,10.6,7,5,59.6
1682035200,68.6,29,0,0.000,0.000,0.000,0.000,0.000,0,209973.750,9.1,11.4,350,349,59.3
1682038800,66.1,32,0,0.000,0.000,0.000,0.000,0.000,0,195538.062,11.0,14.9,333,332,58.4
