latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.435093,-122.12204,12.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,46.8,68,0,0.000,0.000,0.000,0.000,0.000,0,79396.328,1.6,4.2,98,344,48.8
1681977600,45.4,75,0,0.000,0.000,0.000,0.000,0.000,0,67257.219,5.4,2.6,142,105,48.7
1681981200,44.5,71,0,0.000,0.000,0.000,0.000,0.000,0,75787.398,4.5,3.8,180,144,48.7
1681984800,44.4,63,0,0.000,0.000,0.000,0.000,0.000,0,92847.773,1.9,0.5,249,207,48.7
1681988400,43.4,66,0,0.000,0.000,0.000,0.000,0.000,0,86942.258,1.7,1.1,157,180,48.8
1681992000,42.4,72,0,0.000,0.000,0.000,0.000,0.000,0,74146.984,1.8,3.4,330,328,49.4
1681995600,42.3,72,0,0.000,0.000,0.000,0.000,0.000,0,72506.562,3.5,5.7,288,321,49.2
1681999200,43.0,70,0,0.000,0.000,0.000,0.000,0.000,0,81692.914,2.5,0.9,275,315,49.0
1682002800,47.9,77,0,0.000,0.000,0.000,0.000,0.000,3,66929.133,1.1,3.2,180,278,48.8
1682006400,54.4,67,0,0.000,0.000,0.000,0.000,0.000,3,86614.172,0.9,1.0,346,333,49.9
1682010000,57.5,60,0,0.000,0.000,0.000,0.000,0.000,2,101706.039,4.0,4.0,360,360,52.3
1682013600,60.1,48,0,0.000,0.000,0.000,0.000,0.000,3,134842.516,5.6,5.6,7,5,54.8
1682017200,63.6,45,0,0.000,0.000,0.000,0.000,0.000,4,145341.203,5.2,5.8,5,4,56.9
1682020800,65.7,42,0,0.000,0.000,0.000,0.000,0.000,4,155183.734,5.9,6.1,7,6,59.1
1682024400,66.7,40,0,0.000,0.000,0.000,0.000,0.000,7,164370.078,6.4,7.0,12,9,60.2
1682028000,68.6,37,0,0.000,0.000,0.000,0.000,0.000,6,176837.266,6.7,7.6,2,5,60.2
1682031600,69.0,37,0,0.000,0.000,0.000,0.000,0.000,0,177165.359,8.7,10.5,360,359,59.8
1682035200,68.3,31,0,0.000,0.000,0.000,0.000,0.000,0,204068.250,9.7,12.8,341,338,59.5
1682038800,65.0,34,0,0.000,0.000,0.000,0.000,0.000,0,189632.547,10.4,14.5,325,325,58.6
1682042400,61.5,41,0,0.000,0.000,0.000,0.000,0.000,0,159120.734,8.9,13.5,321,321,56.9
1682046000,57.5,48,0,0.000,0.000,0.000,0.000,0.000,0,131889.766,6.5,14.1,316,317,55.1
1682049600,55.1,57,0,0.000,0.000,0.000,0.000,0.000,0,105971.133,3.5,11.6,310,317,54.1
1682053200,53.7,62,0,0.000,0.000,0.000,0.000,0.000,0,94488.188,2.3,7.8,169,319,53.7
1682056800,52.5,66,0,0.000,0.000,0.000,0.000,0.000,0,88582.680,3.5,2.9,145,309,53.7
1682060400,51.2,72,0,0.000,0.000,0.000,0.000,0.000,0,76771.656,3.8,2.7,130,185,53.7
1682064000,50.4,73,0,0.000,0.000,0.000,0.000,0.000,0,75131.234,0.9,2.8,166,256,54.2
1682067600,50.2,70,0,0.000,0.000,0.000,0.000,0.000,0,80380.578,1.8,5.2,284,295,54.1
1682071200,49.2,76,0,0.000,0.000,0.000,0.000,0.000,0,67585.305,0.9,4.3,346,298,53.9
1682074800,48.2,81,0,0.000,0.000,0.000,0.000,0.000,0,58398.949,0.7,3.7,72,303,53.7
1682078400,47.4,83,0,0.000,0.000,0.000,0.000,0.000,0,54133.859,2.0,2.0,96,333,53.5
