latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.49166,-122.247345,7.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,47.8,65,0,0.000,0.000,0.000,0.000,0.000,0,86942.258,3.8,10.3,298,290,48.9
1681977600,46.8,63,0,0.000,0.000,0.000,0.000,0.000,0,91535.438,1.8,6.7,256,285,48.7
1681981200,45.4,63,0,0.000,0.000,0.000,0.000,0.000,0,91207.352,4.9,4.1,185,193,48.7
1681984800,45.9,57,0,0.000,0.000,0.000,0.000,0.000,0,106299.211,2.2,2.4,294,311,48.7
1681988400,45.3,59,0,0.000,0.000,0.000,0.000,0.000,0,103018.375,2.6,3.8,285,320,48.9
1681992000,44.5,60,0,0.000,0.000,0.000,0.000,0.000,0,100393.703,3.0,5.0,306,328,49.4
1681995600,44.7,65,0,0.000,0.000,0.000,0.000,0.000,1,86942.258,3.8,3.2,270,295,49.3
1681999200,45.5,65,0,0.000,0.000,0.000,0.000,0.000,12,87270.344,3.6,1.9,277,324,49.1
1682002800,50.3,76,0,0.000,0.000,0.000,0.000,0.000,2,70209.977,1.6,0.9,262,315,48.9
1682006400,54.5,70,0,0.000,0.000,0.000,0.000,0.000,2,78412.070,1.3,1.3,59,59,50.0
1682010000,57.8,60,0,0.000,0.000,0.000,0.000,0.000,2,98097.117,3.2,3.1,25,30,52.3
1682013600,60.7,51,0,0.000,0.000,0.000,0.000,0.000,3,122047.242,5.0,5.2,21,20,54.8
1682017200,64.2,39,0,0.000,0.000,0.000,0.000,0.000,4,161089.234,5.8,6.3,16,17,57.0
1682020800,66.3,40,0,0.000,0.000,0.000,0.000,0.000,4,158136.484,5.4,5.6,19,23,59.2
1682024400,68.0,37,0,0.000,0.000,0.000,0.000,0.000,8,166666.672,7.0,8.1,6,2,60.2
1682028000,70.1,31,0,0.000,0.000,0.000,0.000,0.000,7,197178.484,8.6,9.7,351,351,60.2
1682031600,70.1,33,0,0.000,0.000,0.000,0.000,0.000,0,187335.953,9.1,10.7,335,331,59.9
1682035200,67.3,33,0,0.000,0.000,0.000,0.000,0.000,0,189960.625,10.6,13.3,305,305,59.5
1682038800,63.0,39,0,0.000,0.000,0.000,0.000,0.000,0,161089.234,10.6,14.1,314,314,58.6
1682042400,60.1,44,0,0.000,0.000,0.000,0.000,0.000,0,144685.047,10.5,15.2,312,311,57.0
1682046000,56.6,52,0,0.000,0.000,0.000,0.000,0.000,0,116797.898,9.4,15.2,306,307,55.2
1682049600,55.5,57,0,0.000,0.000,0.000,0.000,0.000,0,105643.047,7.8,15.4,309,313,54.1
1682053200,54.4,60,0,0.000,0.000,0.000,0.000,0.000,0,98097.117,5.4,13.1,308,314,53.8
1682056800,53.6,61,0,0.000,0.000,0.000,0.000,0.000,0,99081.367,3.9,9.7,294,310,53.8
1682060400,53.1,60,0,0.000,0.000,0.000,0.000,0.000,0,102690.289,2.3,4.8,241,298,53.8
1682064000,51.9,63,0,0.000,0.000,0.000,0.000,0.000,0,95144.359,1.3,3.2,239,295,54.3
1682067600,51.8,62,0,0.000,0.000,0.000,0.000,0.000,0,97769.031,2.9,4.0,270,304,54.1
1682071200,51.0,65,0,0.000,0.000,0.000,0.000,0.000,0,91207.352,2.5,4.7,297,305,53.9
1682074800,50.8,64,0,0.000,0.000,0.000,0.000,0.000,0,91863.516,2.8,4.9,299,309,53.8
1682078400,50.0,68,0,0.000,0.000,0.000,0.000,0.000,0,82349.078,2.1,4.6,319,313,53.6
1682082000,50.3,64,0,0.000,0.000,0.000,0.000,0.000,0,89238.844,3.0,3.6,257,300,52.9
1682085600,50.7,63,0,0.000,0.000,0.000,0.000,0.000,5,92847.773,3.5,4.3,288,313,53.0
1682089200,56.1,64,0,0.000,0.000,0.000,0.000,0.000,6,94488.188,3.6,3.8,270,306,53.6
1682092800,61.1,59,0,0.000,0.000,0.000,0.000,0.000,0,105971.133,3.5,4.3,315,317,54.5
1682096400,64.7,57,0,0.000,0.000,0.000,0.000,0.000,0,111220.477,4.3,5.3,348,345,58.3
1682100000,69.3,46,0,0.000,0.000,0.000,0.000,0.000,14,137467.188,4.5,5.1,6,2,61.0
1682103600,73.1,37,0,0.000,0.000,0.000,0.000,0.000,19,170603.656,5.6,6.5,2,360,64.2
1682107200,76.0,37,0,0.000,0.000,0.000,0.000,0.000,41,170275.594,6.9,8.3,360,358,67.4
1682110800,77.9,35,0,0.000,0.000,0.000,0.000,0.000,15,177493.438,9.0,10.8,354,353,70.1
1682114400,78.8,34,0,0.000,0.000,0.000,0.000,0.000,1,182414.703,10.0,12.0,331,329,70.1
1682118000,76.8,40,0,0.000,0.000,0.000,0.000,0.000,7,155183.734,10.9,13.5,313,312,69.8
