latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.347546,-121.88086,26.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,49.2,71,0,0.000,0.000,0.000,0.000,0.000,0,78412.070,2.2,3.7,217,343,49.9
1681977600,48.4,71,0,0.000,0.000,0.000,0.000,0.000,0,79724.406,2.4,3.3,229,340,49.5
1681981200,47.0,70,0,0.000,0.000,0.000,0.000,0.000,0,81364.828,1.9,0.5,111,297,49.2
1681984800,46.0,70,0,0.000,0.000,0.000,0.000,0.000,0,81036.742,0.6,2.6,45,340,49.0
1681988400,45.5,66,0,0.000,0.000,0.000,0.000,0.000,0,89238.844,2.5,0.3,153,225,49.2
1681992000,44.7,66,0,0.000,0.000,0.000,0.000,0.000,0,88582.680,2.2,0.8,180,236,49.4
1681995600,43.8,70,0,0.000,0.000,0.000,0.000,0.000,0,81036.742,3.6,1.4,79,18,49.7
1681999200,44.0,75,0,0.000,0.000,0.000,0.000,0.000,0,72506.562,2.9,3.2,86,98,49.9
1682002800,48.1,82,0,0.000,0.000,0.000,0.000,0.000,2,59711.285,1.3,1.8,270,300,50.1
1682006400,51.9,77,0,0.000,0.000,0.000,0.000,0.000,4,66601.047,1.7,1.3,310,315,50.3
1682010000,56.4,66,0,0.000,0.000,0.000,0.000,0.000,3,88582.680,4.6,5.4,317,315,52.6
1682013600,60.4,56,0,0.000,0.000,0.000,0.000,0.000,2,110564.305,6.3,6.4,325,324,56.2
1682017200,64.2,49,0,0.000,0.000,0.000,0.000,0.000,2,128608.922,7.6,8.8,328,330,59.6
1682020800,66.9,42,0,0.000,0.000,0.000,0.000,0.000,5,150590.547,7.5,8.2,337,338,61.8
1682024400,68.6,37,0,0.000,0.000,0.000,0.000,0.000,6,171259.844,8.5,10.0,337,336,63.2
1682028000,70.0,38,0,0.000,0.000,0.000,0.000,0.000,5,166666.672,9.1,10.2,329,331,64.1
1682031600,70.9,37,0,0.000,0.000,0.000,0.000,0.000,1,172244.094,10.4,12.4,335,334,64.7
1682035200,67.7,35,0,0.000,0.000,0.000,0.000,0.000,0,177165.359,11.3,14.7,338,338,64.5
1682038800,63.7,36,0,0.000,0.000,0.000,0.000,0.000,0,175524.938,13.7,20.3,344,345,63.4
1682042400,59.6,43,0,0.000,0.000,0.000,0.000,0.000,0,145013.125,11.4,17.9,344,345,62.0
1682046000,56.8,52,0,0.000,0.000,0.000,0.000,0.000,0,116469.820,8.3,16.3,346,347,60.0
1682049600,55.0,60,0,0.000,0.000,0.000,0.000,0.000,0,96456.695,5.5,13.0,346,341,58.4
1682053200,53.5,67,0,0.000,0.000,0.000,0.000,0.000,0,81364.828,3.6,11.3,349,335,57.6
1682056800,52.1,74,0,0.000,0.000,0.000,0.000,0.000,0,69225.719,0.8,9.3,34,330,56.9
1682060400,51.2,75,0,0.000,0.000,0.000,0.000,0.000,0,68897.641,3.0,4.0,163,317,56.6
1682064000,50.1,78,0,0.000,0.000,0.000,0.000,0.000,0,64304.461,2.8,1.6,108,344,56.7
1682067600,49.3,81,0,0.000,0.000,0.000,0.000,0.000,0,59711.285,3.0,0.9,126,14,56.9
1682071200,48.7,82,0,0.000,0.000,0.000,0.000,0.000,0,57742.781,3.9,1.8,121,76,56.6
1682074800,48.0,84,0,0.000,0.000,0.000,0.000,0.000,0,55118.109,3.8,2.2,97,84,56.2
1682078400,47.4,86,0,0.000,0.000,0.000,0.000,0.000,0,51837.270,3.2,2.2,78,37,56.0
1682082000,46.8,87,0,0.000,0.000,0.000,0.000,0.000,3,50196.852,1.4,2.1,72,49,56.2
1682085600,46.9,90,0,0.000,0.000,0.000,0.000,0.000,9,47244.094,2.3,2.9,61,39,56.2
1682089200,50.3,90,0,0.000,0.000,0.000,0.000,0.000,8,46259.844,1.2,1.6,22,8,56.2
1682092800,55.3,80,0,0.000,0.000,0.000,0.000,0.000,2,60695.539,0.9,1.2,346,338,55.7
1682096400,60.7,71,0,0.000,0.000,0.000,0.000,0.000,0,79068.242,3.6,4.5,330,327,58.7
1682100000,66.2,58,0,0.000,0.000,0.000,0.000,0.000,90,105314.961,4.2,5.1,324,322,63.4
1682103600,71.4,44,0,0.000,0.000,0.000,0.000,0.000,92,142716.531,7.0,8.3,329,329,68.1
1682107200,74.8,41,0,0.000,0.000,0.000,0.000,0.000,89,152559.062,9.2,11.2,334,334,70.6
1682110800,76.6,40,0,0.000,0.000,0.000,0.000,0.000,69,153543.312,10.4,12.8,335,335,72.4
1682114400,76.9,40,0,0.000,0.000,0.000,0.000,0.000,22,154855.641,11.8,15.2,339,338,73.7
1682118000,75.9,37,0,0.000,0.000,0.000,0.000,0.000,2,166010.500,12.6,17.0,340,341,74.2
1682121600,74.4,41,0,0.000,0.000,0.000,0.000,0.000,4,150262.469,12.0,16.8,346,346,74.6
1682125200,71.8,47,0,0.000,0.000,0.000,0.000,0.000,4,129593.180,10.4,15.0,351,350,73.8
1682128800,68.2,53,0,0.000,0.000,0.000,0.000,0.000,100,113845.148,9.3,14.4,349,348,71.7
1682132400,64.0,61,0,0.000,0.000,0.000,0.000,0.000,100,94160.109,7.3,14.8,349,349,69.0
1682136000,61.5,67,0,0.000,0.000,0.000,0.000,0.000,68,82021.000,6.1,14.6,354,349,68.1
1682139600,59.6,70,0,0.000,0.000,0.000,0.000,0.000,100,74475.062,4.9,14.5,355,346,66.8
1682143200,57.8,75,0,0.000,0.000,0.000,0.000,0.000,99,66272.969,2.5,12.2,10,346,66.3
1682146800,56.2,80,0,0.000,0.000,0.000,0.000,0.000,100,58727.035,3.0,10.3,36,1,65.6
1682150400,55.1,83,0,0.000,0.000,0.000,0.000,0.000,100,55118.109,1.2,8.8,338,351,65.0
1682154000,54.1,84,0,0.000,0.000,0.000,0.000,0.000,100,53805.773,3.2,6.3,236,360,64.3
1682157600,53.4,85,0,0.000,0.000,0.000,0.000,0.000,100,53149.605,2.2,4.6,225,29,63.8
1682161200,52.5,86,0,0.000,0.000,0.000,0.000,0.000,100,50853.020,3.4,0.9,233,45,62.7
1682164800,51.8,88,0,0.000,0.000,0.000,0.000,0.000,100,48884.516,2.4,1.7,214,130,62.1
1682168400,51.0,89,0,0.000,0.000,0.000,0.000,0.000,100,46587.926,1.8,0.6,173,135,62.1
1682172000,51.2,91,0,0.000,0.000,0.000,0.000,0.000,100,44947.508,2.5,4.3,95,12,62.1
1682175600,54.1,86,0,0.000,0.000,0.000,0.000,0.000,100,51837.270,3.2,6.0,348,345,62.1
1682179200,57.7,81,0,0.000,0.000,0.000,0.000,0.000,31,60367.453,3.7,4.7,327,329,61.4
1682182800,61.3,74,0,0.000,0.000,0.000,0.000,0.000,97,72178.477,4.7,5.8,329,328,63.6
1682186400,65.3,60,0,0.000,0.000,0.000,0.000,0.000,99,97112.859,6.0,7.1,333,332,67.5
1682190000,72.3,42,0,0.000,0.000,0.000,0.000,0.000,68,79199.477,5.9,6.6,317,315,71.1
1682193600,74.9,39,0,0.000,0.000,0.000,0.000,0.000,8,79199.477,8.9,11.0,315,308,73.1
1682197200,74.9,38,0,0.000,0.000,0.000,0.000,0.000,6,79199.477,10.1,12.1,317,309,74.6
1682200800,75.8,35,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,10.0,11.7,320,310,75.6
1682204400,76.7,33,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,10.3,12.7,312,302,75.8
1682208000,74.1,36,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,11.3,13.7,297,291,75.1
1682211600,69.3,45,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,9.9,11.8,293,289,72.6
1682215200,65.1,53,0,0.000,0.000,0.000,0.000,0.000,5,79199.477,8.4,10.5,287,281,69.5
1682218800,61.4,61,0,0.000,0.000,0.000,0.000,0.000,18,79199.477,6.1,8.1,276,270,66.5
1682222400,59.4,65,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.3,5.6,264,254,64.1
1682226000,57.9,70,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.3,5.5,258,249,62.1
1682229600,56.9,73,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.4,5.7,255,244,60.7
1682233200,55.8,77,0,0.000,0.000,0.000,0.000,0.000,97,79199.477,3.0,4.6,234,227,59.6
1682236800,55.2,79,0,0.000,0.000,0.000,0.000,0.000,82,79199.477,2.9,4.5,219,213,58.5
1682240400,54.7,80,0,0.000,0.000,0.000,0.000,0.000,36,79199.477,2.9,4.5,219,217,57.6
1682244000,54.9,79,0,0.000,0.000,0.000,0.000,0.000,78,79199.477,3.2,4.5,231,217,56.6
1682247600,54.9,78,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,4.5,5.4,264,246,55.8
1682251200,54.5,79,0,0.000,0.000,0.000,0.000,0.000,100,78018.375,2.6,4.4,239,225,54.9
1682254800,54.5,78,0,0.000,0.000,0.000,0.000,0.000,100,78608.922,2.7,4.1,246,229,54.4
1682258400,54.9,78,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.2,3.7,204,205,54.0
1682262000,56.0,74,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.7,4.2,222,216,54.0
1682265600,57.6,70,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,2.6,4.2,200,196,55.5
1682269200,61.0,62,0,0.000,0.000,0.000,0.000,0.000,100,79199.477,3.2,4.1,258,241,58.5
1682272800,65.3,53,0,0.000,0.000,0.000,0.000,0.000,66,79199.477,3.2,3.9,258,246,60.5
1682276400,68.7,47,0,0.000,0.000,0.000,0.000,0.000,11,79199.477,3.9,3.9,280,260,60.9
1682280000,71.4,42,0,0.000,0.000,0.000,0.000,0.000,7,79199.477,6.2,7.1,289,283,60.9
1682283600,72.3,42,0,0.000,0.000,0.000,0.000,0.000,7,79199.477,11.3,13.3,300,293,61.6
1682287200,70.5,45,0,0.000,0.000,0.000,0.000,0.000,7,79199.477,11.6,12.0,298,292,62.7
1682290800,69.6,47,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,10.8,12.5,297,291,62.3
1682294400,67.5,49,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,11.4,13.3,296,290,60.7
1682298000,64.2,54,0,0.000,0.000,0.000,0.000,0.000,0,79199.477,9.0,10.6,289,283,59.3
