latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.555317,-122.34009,15.0,-25200,America/Los_Angeles,PDT

time,temperature_2m (°F),relativehumidity_2m (%),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),snow_depth (ft),cloudcover (%),visibility (ft),windspeed_10m (mp/h),windspeed_80m (mp/h),winddirection_10m (°),winddirection_80m (°),temperature_80m (°F)
1681974000,46.8,76,0,0.000,0.000,0.000,0.000,0.000,0,66601.047,4.8,12.5,283,297,48.8
1681977600,46.1,73,0,0.000,0.000,0.000,0.000,0.000,0,72178.477,4.6,10.9,281,302,48.6
1681981200,45.5,68,0,0.000,0.000,0.000,0.000,0.000,0,83333.336,3.8,6.6,263,305,48.6
1681984800,46.1,58,0,0.000,0.000,0.000,0.000,0.000,0,107283.469,4.9,6.3,294,337,48.6
1681988400,44.7,65,0,0.000,0.000,0.000,0.000,0.000,0,87270.344,5.0,7.1,283,314,48.8
1681992000,44.2,68,0,0.000,0.000,0.000,0.000,0.000,0,80052.492,4.3,7.2,282,321,49.4
1681995600,44.8,63,0,0.000,0.000,0.000,0.000,0.000,0,91863.516,3.6,4.3,277,339,49.2
1681999200,45.2,67,0,0.000,0.000,0.000,0.000,0.000,2,80708.664,1.9,3.5,315,35,49.0
1682002800,50.2,77,0,0.000,0.000,0.000,0.000,0.000,2,69225.719,0.8,3.6,124,86,48.8
1682006400,54.2,72,0,0.000,0.000,0.000,0.000,0.000,2,77099.734,2.5,2.7,100,95,49.9
1682010000,58.0,59,0,0.000,0.000,0.000,0.000,0.000,2,104002.625,2.8,2.5,18,27,52.2
1682013600,59.7,56,0,0.000,0.000,0.000,0.000,0.000,2,113517.062,4.5,4.7,27,25,54.8
1682017200,63.7,47,0,0.000,0.000,0.000,0.000,0.000,2,136154.859,4.3,4.5,357,357,56.9
1682020800,65.1,48,0,0.000,0.000,0.000,0.000,0.000,3,131889.766,6.7,6.4,339,350,59.1
1682024400,65.7,42,0,0.000,0.000,0.000,0.000,0.000,12,153215.219,9.0,10.1,316,317,60.2
1682028000,65.6,42,0,0.000,0.000,0.000,0.000,0.000,7,151574.797,10.2,11.8,306,307,60.2
1682031600,64.1,46,0,0.000,0.000,0.000,0.000,0.000,0,139435.703,11.0,13.2,303,300,59.8
1682035200,61.4,43,0,0.000,0.000,0.000,0.000,0.000,0,148950.125,12.8,16.7,303,302,59.4
1682038800,58.5,49,0,0.000,0.000,0.000,0.000,0.000,0,127296.586,12.8,18.1,306,306,58.5
1682042400,56.5,56,0,0.000,0.000,0.000,0.000,0.000,0,107939.633,13.2,20.3,305,306,56.9
1682046000,53.8,62,0,0.000,0.000,0.000,0.000,0.000,0,92519.688,11.9,20.8,304,307,55.1
1682049600,53.5,63,0,0.000,0.000,0.000,0.000,0.000,0,91207.352,9.7,18.3,304,308,54.0
1682053200,52.9,65,0,0.000,0.000,0.000,0.000,0.000,0,86614.172,7.7,15.6,300,308,53.7
1682056800,52.4,66,0,0.000,0.000,0.000,0.000,0.000,0,84973.758,6.7,12.6,291,307,53.7
1682060400,51.8,69,0,0.000,0.000,0.000,0.000,0.000,0,80380.578,6.7,12.2,296,310,53.7
1682064000,51.4,69,0,0.000,0.000,0.000,0.000,0.000,0,81036.742,5.5,9.8,291,317,54.2
1682067600,51.2,65,0,0.000,0.000,0.000,0.000,0.000,0,89238.844,4.3,8.2,291,325,54.0
1682071200,51.1,63,0,0.000,0.000,0.000,0.000,0.000,0,92847.773,3.5,6.2,305,330,53.9
1682074800,50.8,63,0,0.000,0.000,0.000,0.000,0.000,0,93175.852,4.9,5.6,321,331,53.7
1682078400,51.2,59,0,0.000,0.000,0.000,0.000,0.000,0,102034.125,4.0,5.5,313,333,53.5
1682082000,50.8,61,0,0.000,0.000,0.000,0.000,0.000,0,96784.781,3.2,5.7,315,334,52.8
1682085600,50.8,61,0,0.000,0.000,0.000,0.000,0.000,12,95472.445,2.2,3.1,246,330,53.0
1682089200,56.1,60,0,0.000,0.000,0.000,0.000,0.000,9,102034.125,4.0,2.4,232,311,53.5
1682092800,61.2,58,0,0.000,0.000,0.000,0.000,0.000,1,108595.805,2.1,2.4,342,338,54.4
1682096400,64.8,54,0,0.000,0.000,0.000,0.000,0.000,0,118766.406,3.6,4.0,7,357,58.2
1682100000,67.5,49,0,0.000,0.000,0.000,0.000,0.000,12,130577.430,4.3,5.0,12,10,60.9
1682103600,72.0,43,0,0.000,0.000,0.000,0.000,0.000,18,149606.297,4.5,5.4,3,2,64.1
1682107200,74.9,41,0,0.000,0.000,0.000,0.000,0.000,40,153543.312,7.4,8.5,358,358,67.4
1682110800,75.5,40,0,0.000,0.000,0.000,0.000,0.000,17,158136.484,9.5,11.3,319,319,70.1
1682114400,72.3,49,0,0.000,0.000,0.000,0.000,0.000,5,124671.914,12.4,15.6,304,304,70.1
1682118000,70.6,52,0,0.000,0.000,0.000,0.000,0.000,12,112860.891,13.3,17.9,305,306,69.7
1682121600,69.2,53,0,0.000,0.000,0.000,0.000,0.000,100,110564.305,13.6,18.8,308,307,68.1
